pc4_code,Price_per_m2
1011,8477.935677031244
1012,7973.175456962979
1013,9418.45064267716
1014,11434.332710287144
1015,10786.034230223142
1016,9395.196477671898
1017,10517.14614470783
1018,8788.202167620608
1019,7472.981498950826
1021,7106.861921742705
1022,13163.12060118611
1023,7423.869415025584
1024,6121.287953972374
1025,5205.8773559984365
1026,9556.26102292769
1027,6819.113230877937
1028,5114.685214175876
1031,9943.317308011674
1032,12080.319052654126
1033,6653.200749698344
1034,5800.34238015901
1035,5787.3613875564315
1036,6380.738374684297
1043,14103.666932456796
1051,8933.076011173147
1052,8374.370094797616
1053,9463.126483239652
1054,10381.20139581555
1055,7851.495650046857
1056,8005.26671911903
1057,8780.087717318314
1058,8171.420356783181
1059,8887.496668986181
1060,5577.259513099392
1061,7205.366085529561
1062,9481.592666649905
1063,4970.256557847835
1064,7842.10553952163
1065,6008.715015792539
1066,6363.118065534326
1067,5944.876029800304
1068,5301.7335284072915
1069,5402.916294876534
1071,10923.327134567337
1072,9518.455457630727
1073,9156.69183279765
1074,9098.483897638043
1075,11151.164361892943
1076,8880.84493008885
1077,9749.41590411437
1078,7984.180623696626
1079,8158.333681550649
1081,7574.547575085302
1082,7750.018437500851
1083,8444.328009642197
1086,6662.5136413237815
1087,6312.815834010172
1091,8842.028597396356
1092,8090.184865701539
1093,8213.937326830228
1094,8412.889433143126
1095,10996.19439661411
1096,16390.19119214798
1097,7627.576119488995
1098,7600.219423037455
1101,13142.705333943994
1102,6284.950623216193
1103,4310.631949012383
1104,4985.230929144727
1106,4913.77511207073
1107,4806.964127242113
1108,4904.224776698431
1109,2973.8661564551894
1111,5619.261132969495
1112,11232.878527872264
1114,11056.311329170385
1115,6050.037403324106
1121,6347.891933952277
1127,6935.842807360322
1131,3873.5558639342316
1132,4299.159229266769
1135,4662.317574158714
1141,5206.547190697026
1151,6228.442551940459
1154,8928.57142857143
1156,8472.16471794927
1161,5073.111306212073
1165,4611.225561718983
1171,5741.748296528356
1175,6302.5210084033615
1181,6900.097879926715
1182,7994.985528467039
1183,6196.813999758206
1184,10694.688638985841
1185,6076.061647640381
1186,5762.418147575451
1187,6193.3731812899805
1188,5489.120692057704
1189,6061.008921248035
1191,5832.28364798662
1211,5774.106590377502
1212,6488.893243694302
1213,5732.085923938659
1214,5807.099030045225
1215,4683.422793056804
1216,4852.837969237092
1217,6641.867056995697
1218,4268.913034141292
1221,4748.454497962899
1222,4993.134016634303
1223,7458.155500067239
1231,6067.467566751417
1241,6078.6924765617205
1243,5816.210718263365
1244,9627.280447701309
1251,6970.002468561169
1252,6502.890173410405
1261,7055.018109249417
1262,6871.353024999118
1271,5547.052660567792
1272,7476.70292267593
1273,4050.7693290927787
1274,4753.409812682104
1275,3925.531914893617
1276,4414.188105577448
1277,5076.736221726665
1311,3914.684421022045
1312,7430.093055983047
1313,3967.819176135206
1314,4214.710946893342
1315,4868.531950174572
1316,4122.548117019107
1317,3846.3039160831104
1318,4050.4967279992584
1319,4339.596775966798
1321,3873.270803284716
1323,4241.673497270203
1324,3800.77892659224
1325,3887.7657173712787
1326,4077.598870106307
1328,3929.850513442766
1331,4186.602870813397
1333,4247.73253372776
1334,6066.2580428081965
1335,4156.305487883204
1336,4222.13393252845
1338,3803.4038494852402
1339,3775.6586645585026
1341,3843.564976809418
1343,5572.935477704724
1349,5939.216199362527
1351,3779.449284497573
1352,4583.333333333333
1353,3656.917823309099
1354,6376.410356528148
1355,3319.2721257237386
1356,3989.986594392959
1357,4023.808535571767
1358,3567.3617566141334
1359,5151.449947699796
1361,5319.417954648156
1362,3935.1364734795493
1363,5136.564908162154
1381,6709.223711692717
1382,4866.271865273242
1383,4736.006245932959
1384,6506.904209757659
1391,6497.8671869252075
1393,9167.167197987008
1394,5666.49726014147
1396,5047.1854044903575
1398,6286.710253212517
1399,7386.898095627672
1401,5644.674327927461
1402,5846.63249182962
1403,5345.6646194372925
1404,5438.093909620413
1405,6617.134428351228
1406,5769.073333170693
1411,6936.3571745638865
1412,5634.514601383629
1421,17378.369312734703
1422,4898.166469850847
1423,5091.800431121549
1424,5606.340168617342
1426,4175.2518315018315
1427,4259.611724400456
1431,6077.303714120481
1432,6928.348854926784
1433,6155.566493421568
1435,6797.964103519583
1436,5978.260869565217
1441,4555.200387641845
1442,4190.255601855913
1443,4147.709682403001
1444,4640.9311677070655
1445,4981.714812776659
1446,3877.9849886159222
1447,5166.990333619482
1448,4906.2423063155275
1451,5459.343653010553
1452,5215.584686386168
1454,12695.742998132628
1456,5089.006354225809
1458,5925.665889501201
1461,5638.008861821178
1462,4259.609855202308
1463,3402.227249179186
1464,4617.974818887824
1471,5872.80701754386
1472,4850.372231858443
1473,5182.041545677909
1474,3927.676598976185
1475,5136.66204886908
1482,4107.142857142857
1483,5072.242325112588
1485,3162.5441696113076
1486,5473.484848484848
1487,4866.547645258768
1488,7500.0
1489,5497.38219895288
1501,4941.537731137667
1502,5288.758958658326
1503,4159.793277655918
1504,4545.446564622435
1505,5246.645248290933
1506,5996.185499070545
1507,4612.904459659825
1508,4581.510595153085
1509,3939.0587381240352
1511,5383.313679692996
1521,4837.398512251787
1525,6500.0
1531,4191.865196731734
1534,10257.648247978437
1536,4020.1342281879197
1541,4985.576213249726
1544,4466.505209447048
1546,4627.173913043478
1551,4514.186645262666
1561,5002.643785558934
1562,4553.996149584842
1566,4793.654489894222
1567,4245.667682180729
1601,4811.8783059902935
1602,3853.1046494103553
1606,3472.4984138081677
1607,3825.017021690497
1608,4634.639739010669
1611,3616.776635960891
1613,3499.7757962876512
1614,2974.9728274105864
1616,3811.8272583275166
1617,3351.9104959991655
1619,3866.788145664834
1621,7666.733798268542
1622,4019.666997561487
1623,5288.555041900981
1624,5319.2831480610585
1625,4176.899377098944
1628,3634.043420133223
1631,5203.488372093023
1633,4011.3057300444307
1634,3917.6136363636365
1636,4018.680649776873
1641,4295.985234600143
1645,3734.574098975018
1647,3844.7055899951324
1648,4044.5496851632624
1652,4437.102809289066
1654,3814.071856287425
1655,5368.695175438597
1657,3548.5722235812113
1661,8241.410084783578
1671,4417.223308272334
1674,3423.9203115282944
1678,4291.379801834965
1679,4245.771027134389
1681,5759.615384615385
1684,4197.953561589925
1685,3955.6737588652486
1687,3673.2103009550174
1688,4688.123548929265
1689,3839.530568525872
1693,4102.711769191393
1695,4518.0599986674415
1696,1747.2118959107806
1701,3820.7236721017953
1702,4154.775778697739
1703,7355.470504330602
1704,7797.63903278988
1705,3972.9132695192047
1706,4397.997334525779
1711,4393.909490365208
1713,4386.642751396776
1715,3494.641851684066
1716,2863.419588680926
1718,2934.380484504136
1721,6527.00793888274
1722,4858.495038877227
1723,4211.688020159523
1724,4034.138836490914
1731,4260.086642141516
1732,4870.502304712831
1733,4253.620905133952
1734,4956.715210355987
1735,10639.120407517363
1738,12068.483135408498
1741,3737.0945827374376
1742,4359.583654622079
1744,5625.299814514754
1746,3206.133119622656
1747,3662.7223956578073
1749,4692.27411034
1751,3978.5237698081737
1752,5435.112945659077
1753,2675.324133657467
1754,6976.845784185233
1755,3297.8031082357525
1756,3987.192574374778
1757,3488.823529411765
1759,2879.272117672507
1761,3547.092619891196
1764,4841.664731147118
1766,2896.666422549952
1767,27786.646110056925
1768,4059.7395715042776
1769,5668.604651162791
1771,3368.6969729654566
1773,2711.018089492281
1774,2340.2482396041487
1775,3524.928584801387
1777,3302.3785858146985
1778,3748.751832489697
1779,3743.1931604303445
1781,3381.085835151481
1782,3046.071509574505
1783,3047.2766580293464
1784,2967.4876418126496
1785,2849.8762749050406
1787,4359.821149827106
1788,2913.3397783638143
1789,3977.2727272727275
1791,6402.725008762333
1792,4034.573599240266
1793,6250.0
1794,4321.889831379033
1795,4481.034854296389
1796,9678.01483231396
1797,4878.845630100699
1811,5767.657881391039
1813,6434.189441304959
1814,5672.551851027042
1815,5515.330438462408
1816,4294.550464199077
1817,4956.952541975087
1821,4521.043226812444
1822,4603.682260033062
1823,4999.1475229287
1824,4136.002249087277
1825,4087.7422698799123
1826,3397.2728509858107
1827,3899.858622149976
1829,5631.755461972408
1831,3828.5593109748143
1834,4181.474902565779
1841,4495.66932270198
1842,4731.040564373898
1843,4345.2991452991455
1847,6605.024886159059
1851,5029.348514119972
1852,5210.4528539954035
1853,6420.857738229331
1861,7442.6678496597615
1862,6554.010039024095
1865,10372.429313590772
1871,6300.281175086727
1873,4876.649265482264
1901,5445.822187492003
1902,4736.650322944545
1906,4733.589486823793
1911,4582.715512265814
1921,4425.5318314405495
1931,5600.539639100097
1934,5645.464169711702
1935,5619.626668000555
1941,5557.236139970035
1942,6057.027802554118
1943,4233.857191475196
1944,4005.3587604337195
1945,4536.27727725143
1946,3540.627362055933
1947,4562.935828320709
1948,4252.361669392587
1949,4258.459628807294
1951,3809.680024267697
1961,5955.647345612135
1962,4616.031565547339
1963,4961.5047104391015
1964,4597.477792707831
1965,4049.5107693179066
1966,4236.420711919239
